�..SpeciesID,RegionNumber,UnitCode,locality,SciName,scientificName,ExternalSourceCode,taxonID,TaxonCategoryGroup,TaxonCategoryName,kingdom,phylum,class,TaxonSubClass,TaxonInfraclass,order,TaxonSubOrder,family,taxonRank,genus,RefugeCommonNames,Synonyms,occurrenceStatus,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,source,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,ID
211899,7,FF07RKNA00,Kenai National Wildlife Refuge,Polypedilum tritum,"Polypedilum tritum (Walker, 1856)",129719,26128,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Chironomidae,species,Polypedilum,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240410,,,,jake_danner@fws.gov,6/1/2020 10:37,jake_danner@fws.gov,6/1/2020 10:37,26128
211900,7,FF07RKNA00,Kenai National Wildlife Refuge,Populus hastata,Populus hastata Dode,195734,105821,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Malpighiales,,Salicaceae,species,Populus,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWRObs:Herb:759,,,,jake_danner@fws.gov,6/1/2020 10:38,jake_danner@fws.gov,6/1/2020 10:38,105821
211667,7,FF07RKNA00,Kenai National Wildlife Refuge,Potentilla anserina,Potentilla anserina L.,24687,126314,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Rosales,,Rosaceae,species,Potentilla,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAM:Herb:28489,,,,jake_danner@fws.gov,5/12/2020 11:36,jake_danner@fws.gov,5/12/2020 11:36,126314
211542,7,FF07RKNA00,Kenai National Wildlife Refuge,Pristiphora cincta,Pristiphora cincta,-720784,618290,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Symphyta,Tenthredinidae,species,Pristiphora,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:3510,,,,jake_danner@fws.gov,5/8/2020 13:22,jake_danner@fws.gov,5/8/2020 13:22,618290
211543,7,FF07RKNA00,Kenai National Wildlife Refuge,Pristiphora lativentris,Pristiphora lativentris,-720774,618269,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Symphyta,Tenthredinidae,species,Pristiphora,,,present,,,,,,,,,,,,,,,,,,Draft,Undecided,No,,http://arctos.database.museum/guid/KNWR:Ento:8362,,,,jake_danner@fws.gov,5/8/2020 13:25,jake_danner@fws.gov,5/8/2020 13:25,618269
211544,7,FF07RKNA00,Kenai National Wildlife Refuge,Pristiphora mollis,Pristiphora mollis,-720767,618254,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Symphyta,Tenthredinidae,species,Pristiphora,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:2715,,,,jake_danner@fws.gov,5/8/2020 13:28,jake_danner@fws.gov,5/8/2020 13:28,618254
211545,7,FF07RKNA00,Kenai National Wildlife Refuge,Pristiphora staudingeri,Pristiphora staudingeri,-720755,618229,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Symphyta,Tenthredinidae,species,Pristiphora,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:1980,,,,jake_danner@fws.gov,5/8/2020 13:32,jake_danner@fws.gov,5/8/2020 13:32,618229
211901,7,FF07RKNA00,Kenai National Wildlife Refuge,Proclitus paganus,Proclitus paganus,-723840,622058,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Ichneumonidae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240738,,,,jake_danner@fws.gov,6/1/2020 10:40,jake_danner@fws.gov,6/1/2020 10:40,622058
211902,7,FF07RKNA00,Kenai National Wildlife Refuge,Psallus falleni,"Psallus falleni Reuter, 1883",106755,9436,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Miridae,species,Psallus,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240286,,,,jake_danner@fws.gov,6/1/2020 10:41,jake_danner@fws.gov,6/1/2020 10:41,9436
211903,7,FF07RKNA00,Kenai National Wildlife Refuge,Psectrocladius fennicus,"Psectrocladius fennicus Stora, 1939",129028,31972,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Chironomidae,species,Psectrocladius,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240413,,,,jake_danner@fws.gov,6/1/2020 10:42,jake_danner@fws.gov,6/1/2020 10:42,31972
211904,7,FF07RKNA00,Kenai National Wildlife Refuge,Pseudolimnophila inornata,"Pseudolimnophila inornata (Osten Sacken, 1869)",183772,86076,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Tipulidae,species,Pseudolimnophila,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239371,,,,jake_danner@fws.gov,6/1/2020 10:44,jake_danner@fws.gov,6/1/2020 10:44,86076
211614,7,FF07RKNA00,Kenai National Wildlife Refuge,Pycnora sorophora,Pycnora sorophora,-511941,174901,Fungi,Fungi,,,,,,,,Lecanoraceae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:11722,,,,jake_danner@fws.gov,5/11/2020 12:30,jake_danner@fws.gov,5/11/2020 12:30,174901
211905,7,FF07RKNA00,Kenai National Wildlife Refuge,Ramalina thrausta,Ramalina thrausta,190895,105333,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,Ramalinaceae,species,Ramalina,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:12322,,,,jake_danner@fws.gov,6/1/2020 10:46,jake_danner@fws.gov,6/1/2020 10:46,105333
211615,7,FF07RKNA00,Kenai National Wildlife Refuge,Ramboldia cinnabarina,"<em>Ramboldia</em> <em>cinnabarina</em> (Sommerf.) Kalb, Lumbsch & Elix",,991955,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,Lecanoraceae,species,Ramboldia,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:12158,,,,jake_danner@fws.gov,5/11/2020 12:32,jake_danner@fws.gov,5/11/2020 12:32,991955
211906,7,FF07RKNA00,Kenai National Wildlife Refuge,Rhagonycha mandibularis,"Rhagonycha mandibularis (Kirby in Richards, 1837)",834496,839709,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Cantharidae,species,Rhagonycha,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239712,,,,jake_danner@fws.gov,6/1/2020 10:47,jake_danner@fws.gov,6/1/2020 10:47,839709
211577,7,FF07RKNA00,Kenai National Wildlife Refuge,Rhigognostis interrupta,Rhigognostis interrupta,-704444,583346,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Lepidoptera,,Plutellidae,species,,,,present,,,,,,,,,,,,,,,,,,Draft,Undecided,No,,http://arctos.database.museum/guid/KNWR:Ento:6832,,,,jake_danner@fws.gov,5/8/2020 15:40,jake_danner@fws.gov,5/8/2020 15:40,583346
211907,7,FF07RKNA00,Kenai National Wildlife Refuge,Rhizomnium glabrescens,Rhizomnium glabrescens (Kindb.) T. Kop.,548075,253085,Plants,Non-vascular Plant,Plantae,Bryophyta,Bryopsida,Bryidae,,Bryales,,Mniaceae,species,Rhizomnium,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:12327,,,,jake_danner@fws.gov,6/1/2020 10:50,jake_danner@fws.gov,6/1/2020 10:50,253085
211546,7,FF07RKNA00,Kenai National Wildlife Refuge,Rhogogaster viridis,Rhogogaster viridis,-720719,617458,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Symphyta,Tenthredinidae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:1437,,,,jake_danner@fws.gov,5/8/2020 13:35,jake_danner@fws.gov,5/8/2020 13:35,617458
211908,7,FF07RKNA00,Kenai National Wildlife Refuge,Rhopalopterum soror,"Rhopalopterum soror (Macquart, 1851)",147991,53125,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Chloropidae,species,Rhopalopterum,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:238993,,,,jake_danner@fws.gov,6/1/2020 10:51,jake_danner@fws.gov,6/1/2020 10:51,53125
211909,7,FF07RKNA00,Kenai National Wildlife Refuge,Rhopobota naevana,Rhopobota naevana,-695487,564941,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Lepidoptera,,Tortricidae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240453,,,,jake_danner@fws.gov,6/1/2020 10:52,jake_danner@fws.gov,6/1/2020 10:52,564941
211910,7,FF07RKNA00,Kenai National Wildlife Refuge,Rimularia caeca,Rimularia caeca,-510736,176243,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Ostropomycetidae,,Agyriales,,Agyriaceae,species,Rimularia,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:11723,,,,jake_danner@fws.gov,6/1/2020 10:55,jake_danner@fws.gov,6/1/2020 10:55,176243
211630,7,FF07RKNA00,Kenai National Wildlife Refuge,Rinodina degeliana,Rinodina degeliana,-510743,176258,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,Physciaceae,species,Rinodina,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:12299,,,,jake_danner@fws.gov,5/11/2020 14:03,jake_danner@fws.gov,5/11/2020 14:03,176258
211911,7,FF07RKNA00,Kenai National Wildlife Refuge,Rinodina metaboliza,Rinodina metaboliza Vain.,191180,97112,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,Physciaceae,species,Rinodina,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:11646,,,,jake_danner@fws.gov,6/1/2020 10:56,jake_danner@fws.gov,6/1/2020 10:56,97112
211657,7,FF07RKNA00,Kenai National Wildlife Refuge,Rumex occidentalis,Rumex occidentalis S. Watson,20947,117316,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Caryophyllales,,Polygonaceae,species,Rumex,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:10491,,,,jake_danner@fws.gov,5/11/2020 17:47,jake_danner@fws.gov,5/11/2020 17:47,117316
211592,7,FF07RKNA00,Kenai National Wildlife Refuge,Russula xerampelina,Russula xerampelina,-504870,164366,Fungi,Fungi,Fungi,,,,,Russulales,,Russulaceae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/871319,,,,jake_danner@fws.gov,5/8/2020 17:15,jake_danner@fws.gov,5/8/2020 17:15,164366
211662,7,FF07RKNA00,Kenai National Wildlife Refuge,Salix arctica,Salix arctica Liebm.,22477,119676,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Malpighiales,,Salicaceae,species,Salix,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:11213,,,,jake_danner@fws.gov,5/12/2020 10:56,jake_danner@fws.gov,5/12/2020 10:56,119676
211912,7,FF07RKNA00,Kenai National Wildlife Refuge,Sargus decorus,"Sargus decorus Say, 1824",130376,31681,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Stratiomyidae,species,Sargus,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239769,,,,jake_danner@fws.gov,6/1/2020 10:58,jake_danner@fws.gov,6/1/2020 10:58,31681
211913,7,FF07RKNA00,Kenai National Wildlife Refuge,Scaptomyza trochanterata,"Scaptomyza trochanterata Collin, 1953",146645,49791,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Drosophilidae,species,Scaptomyza,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239059,,,,jake_danner@fws.gov,6/1/2020 10:59,jake_danner@fws.gov,6/1/2020 10:59,49791
211484,7,FF07RKNA00,Kenai National Wildlife Refuge,Scatella tenuicosta,Scatella tenuicosta,-710418,594827,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Ephydridae,species,Scatella,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:10505,,,,jake_danner@fws.gov,5/7/2020 11:57,jake_danner@fws.gov,5/7/2020 11:57,594827
211664,7,FF07RKNA00,Kenai National Wildlife Refuge,Schoenoplectus acutus,Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve,507785,166989,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Poales,,Cyperaceae,species,Schoenoplectus,,,present,,,,,,,,,,,,,,,,,,Draft,Undecided,No,,https://www.inaturalist.org/observations/15021721,,,,jake_danner@fws.gov,5/12/2020 11:08,jake_danner@fws.gov,5/12/2020 11:08,166989
211914,7,FF07RKNA00,Kenai National Wildlife Refuge,Sciuro-hypnum latifolium,<em>Sciuro-hypnum</em> <em>latifolium</em> (Kindberg) Ignatov & Huttunen,,991959,Plants,Non-vascular Plant,Plantae,Bryophyta,Bryopsida,Bryidae,,Hypnales,,Brachytheciaceae,species,Sciuro-hypnum,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:11990,,,,jake_danner@fws.gov,6/1/2020 11:01,jake_danner@fws.gov,6/1/2020 11:01,991959
211915,7,FF07RKNA00,Kenai National Wildlife Refuge,Sepedon pusilla,"Sepedon pusilla Loew, 1859",144911,45944,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Sciomyzidae,species,Sepedon,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240455,,,,jake_danner@fws.gov,6/1/2020 11:02,jake_danner@fws.gov,6/1/2020 11:02,45944
211916,7,FF07RKNA00,Kenai National Wildlife Refuge,Sepsis neocynipsea,"Sepsis neocynipsea Melander and Spuler, 1917",145024,46873,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Sepsidae,species,Sepsis,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240758,,,,jake_danner@fws.gov,6/1/2020 11:04,jake_danner@fws.gov,6/1/2020 11:04,46873
211917,7,FF07RKNA00,Kenai National Wildlife Refuge,Simulium tuberosum,"Simulium tuberosum (Lundstrom, 1911)",126883,24703,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Simuliidae,species,Simulium,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240150,,,,jake_danner@fws.gov,6/1/2020 11:05,jake_danner@fws.gov,6/1/2020 11:05,24703
211918,7,FF07RKNA00,Kenai National Wildlife Refuge,Sorhoanus xanthoneurus,Sorhoanus xanthoneurus,-737860,650737,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hemiptera,Auchenorrhyncha,Cicadellidae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240009,,,,jake_danner@fws.gov,6/1/2020 11:08,jake_danner@fws.gov,6/1/2020 11:08,650737
211562,7,FF07RKNA00,Kenai National Wildlife Refuge,Spaelotis clandestina,"Spaelotis clandestina (Harris, 1841)",771426,759652,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Lepidoptera,,Noctuidae,species,Spaelotis,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:11090,,,,jake_danner@fws.gov,5/8/2020 14:56,jake_danner@fws.gov,5/8/2020 14:56,759652
211919,7,FF07RKNA00,Kenai National Wildlife Refuge,Sphaerophoria novaeangliae,"Sphaerophoria novaeangliae Johnson, 1916",140260,39994,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Syrphidae,species,Sphaerophoria,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240896,,,,jake_danner@fws.gov,6/1/2020 11:09,jake_danner@fws.gov,6/1/2020 11:09,39994
211632,7,FF07RKNA00,Kenai National Wildlife Refuge,Sphaerophorus fragilis,Sphaerophorus fragilis,-510971,173910,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,Sphaerophoraceae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:9068,,,,jake_danner@fws.gov,5/11/2020 14:10,jake_danner@fws.gov,5/11/2020 14:10,173910
211633,7,FF07RKNA00,Kenai National Wildlife Refuge,Sphaerophorus globosus,Sphaerophorus globosus,-510973,173914,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,Sphaerophoraceae,species,,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:8851,,,,jake_danner@fws.gov,5/11/2020 14:13,jake_danner@fws.gov,5/11/2020 14:13,173914
211920,7,FF07RKNA00,Kenai National Wildlife Refuge,Sphagnum contortum,Sphagnum contortum Schultz,15686,59758,Plants,Non-vascular Plant,Plantae,Bryophyta,Sphagnopsida,,,Sphagnales,,Sphagnaceae,species,Sphagnum,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:12286,,,,jake_danner@fws.gov,6/1/2020 11:10,jake_danner@fws.gov,6/1/2020 11:10,59758
211921,7,FF07RKNA00,Kenai National Wildlife Refuge,Sphagnum jensenii,Sphagnum jensenii H. Lindb.,548202,254986,Plants,Non-vascular Plant,Plantae,Bryophyta,Sphagnopsida,,,Sphagnales,,Sphagnaceae,species,Sphagnum,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:11729,,,,jake_danner@fws.gov,6/1/2020 11:11,jake_danner@fws.gov,6/1/2020 11:11,254986
211922,7,FF07RKNA00,Kenai National Wildlife Refuge,Sphagnum rubellum,Sphagnum rubellum Wils.,548213,255009,Plants,Non-vascular Plant,Plantae,Bryophyta,Sphagnopsida,,,Sphagnales,,Sphagnaceae,species,Sphagnum,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:11827,,,,jake_danner@fws.gov,6/1/2020 11:11,jake_danner@fws.gov,6/1/2020 11:11,255009
211923,7,FF07RKNA00,Kenai National Wildlife Refuge,Spilogona contractifrons,"Spilogona contractifrons (Zetterstedt, 1838)",150869,56072,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscidae,species,Spilogona,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240203,,,,jake_danner@fws.gov,6/1/2020 11:13,jake_danner@fws.gov,6/1/2020 11:13,56072
211924,7,FF07RKNA00,Kenai National Wildlife Refuge,Spilogona forticula,"Spilogona forticula Huckett, 1965",150901,56109,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscidae,species,Spilogona,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:240954,,,,jake_danner@fws.gov,6/1/2020 11:14,jake_danner@fws.gov,6/1/2020 11:14,56109
211925,7,FF07RKNA00,Kenai National Wildlife Refuge,Spilogona opaca,"Spilogona opaca (Schnabl, 19150",150972,56988,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscidae,species,Spilogona,,,present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239061,,,,jake_danner@fws.gov,6/1/2020 11:15,jake_danner@fws.gov,6/1/2020 11:15,56988
