category,latin,rank,origin,authority,tsn,accepted_tsn,accepted_latin,duplicate,usage,unaccept_reason,comments,vernacularName,dateFirstObserved,extirpated,inaturalistobs,arctosGUID,notes_distribution,notes_taxonomic,notes_biology,kingdom,division,phylum,class,order,suborder,family,subfamily,genus
Arthropods,Dryocoetes autographus,Species,Native,"(Ratzeburg, 1837)",-619248,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,Scolytinae,Dryocoetes
Arthropods,Glocianus punctiger,Species,Alien," (Sahlberg, 1835)",-619967,NA,,,invalid,"not reviewed, USFWS record",,,,NA,1620902,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,,Glocianus
Arthropods,Ips perturbatus,Species,Native,(Eichhoff),-619249,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,Scolytinae,Ips
Arthropods,Isochnus flagellum,Species,Native,,-618365,NA,,,invalid,"not reviewed, USFWS record",Collected on LTEMP. Determination by C. O'Brien.,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,,Isochnus
Arthropods,Polygraphus rufipennis,Species,Native,(Kirby),-619250,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,Scolytinae,Polygraphus
Arthropods,Trypodendron retusum,Species,Native,(Leconte),-619251,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,Scolytinae,Trypodendron
Arthropods,Trypodendron rufitarsus,Species,Native,(Kirby),-619252,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,Scolytinae,Trypodendron
Arthropods,Athous rufiventris,Species,Native,,-618302,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Elateridae,,Athous
Arthropods,Ctenicera kendalli,Species,Native,,-618303,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Elateridae,,Ctenicera
Arthropods,Ctenicera ochreipennis,Species,Native,,-618305,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Elateridae,,Ctenicera
Arthropods,Ctenicera resplendens,Species,Native,,-618306,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Elateridae,,Ctenicera
Arthropods,Ctenicera watsoni,Species,Native,"(Brown, 1936)",-619241,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Elateridae,,Ctenicera
Arthropods,Hypnoidus bicolor,Species,Native,,-618308,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Elateridae,,Hypnoidus
Arthropods,Sericus incongruus,Species,Native,,-618310,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Elateridae,,Sericus
Arthropods,Epiphanis cornutus,Species,Native,Eschsholtz,-619243,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Eucnemidae,,Epiphanis
Arthropods,Leptophloeus sp.,Species,Native,,-619970,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Laemophloeidae,,Leptophloeus
Arthropods,Ellychnia sp.,Species,Native,,-620099,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,"Alaskan specimens of \itaxon{Ellychnia} have been assigned to BOLD BIN BOLD:AAF4976\footnote{\url{http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF4976}}, a BIN containing multiple named species. Specimens of \itaxon{Ellychnia} collected from the Refuge likely belong to this BIN.",,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Lampyridae,Lampyrinae,Ellychnia
Arthropods,Corticaria ferruginea,Species,Native,"(Marsham, 1802)",-619320,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Latridiidae,,Corticaria
Arthropods,Corticarina minuta,Species,Native,,-620085,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Latridiidae,,Corticarina
Arthropods,Enicmus mimus,Species,Native,"Fall, 1899",-619351,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Latridiidae,,Enicmus
Arthropods,Stephostethus armatulus,Species,Native,"(Fall, 1899)",-619321,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Latridiidae,,Stephostethus
Arthropods,Xylita laevigata,Species,Native,"(Hellenius, 1786)",-619245,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Melandryidae,,Xylita
Arthropods,Rhizophagus dimidiatus,Species,Native,"(Mannerheim, 1843)",-619246,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Monotomidae,Rhizophaginae,Rhizophagus
Arthropods,Dendroides ephemeroides,Species,Native,,-618098,NA,,,invalid,"not reviewed, USFWS record",2004 Collet pilot study,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Pyrochroidae,,Dendroides
Arthropods,Agoliinus congregatus,Species,Native,,926771,NA,,,invalid,"not reviewed, USFWS record",2003 Skyline Carabid beetle project,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Scarabaeidae,Aphodiinae,Agoliinus
Arthropods,Anaspis rufa,Species,Native,"Say, 1825",-618627,NA,,,invalid,"not reviewed, USFWS record",Collected as part of Dominique Collet's 2004 pilots study,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Scraptiidae,Anaspidinae,Anaspis
Arthropods,Acidota quadrata,Species,Native,(Zetterstedt),-619180,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,,Acidota
Arthropods,Dinaraea pacei,Species,Native,"Klimaszewski and Langor, 2011",-620169,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,This species is widely distributed from Alaska to eastern Canada \citep{Klimaszewskietal2013}.,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,Aleocharinae,Dinaraea
Arthropods,Eucnecosum brachypterum,Species,Native,,-619612,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,,Eucnecosum
Arthropods,Olisthaerus megacephalus,Species,Native,"(Zetterstedt, 1828)",-619254,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,,Olisthaerus
Arthropods,Pelecomalium sp.,Species,Native,"(Mannerheim, 1843)",-618625,NA,,,invalid,"not reviewed, USFWS record",LTEMP.  Determination tentative.,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,,Pelecomalium
Arthropods,Quedionuchus plagiatus,Species,Native,"(Mannerheim, 1843)",-619255,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,http://arctos.database.museum/guid/UAMObs:Ento:33380,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,,Quedionuchus
Arthropods,Scaphium castanipes,Species,Native,"Kirby, 1837",-618624,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,,Scaphium
Arthropods,Tachinus quebecensis,Species,Native,"Robert, 1946",-620073,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Staphylinidae,,Tachinus
Arthropods,Upis ceramboides,Species,Native,"(Linnaeus, 1758)",-618367,NA,,,invalid,"not reviewed, USFWS record","I don't actually have a specimen from KENWR in hand, but it is common in birch logs locally and certainly occurs on the refuge.",,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Tenebrionidae,,Upis
Arthropods,Peltis fraterna,Species,Native,,-620120,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Trogossitidae,,Peltis
Arthropods,Peltis septentrionalis,Species,Native,,-620121,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Trogossitidae,,Peltis
Arthropods,Liriomyza equiseti,Species,Native,"De Meijere, 1924",-620141,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Agromyzidae,Phytomyzinae,Liriomyza
Arthropods,Chirosia similata,Species,Native,,-620136,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,Larvae feed in rolled fronds of \itaxon{Dryopteris!expansa}\footnote{\url{http://arctos.database.museum/guid/KNWR:Ento:11152}}.,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Anthomyiidae,Anthomyiinae,Chirosia
Arthropods,Anthomyza gilviventris,Species,Native,,-619892,NA,,,invalid,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Anthomyzidae,,Anthomyza
Arthropods,Anthomyza pengellyi,Species,Native,,-619894,NA,,,invalid,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Anthomyzidae,,Anthomyza
Arthropods,Anthomyza vockerothi,Species,Native,,-619893,NA,,,invalid,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Anthomyzidae,,Anthomyza
Arthropods,Arganthomyza duplex,Species,Native,"Rohacek and Barber, 2013",-619898,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Anthomyzidae,,Arganthomyza
Arthropods,Carexomyza caricis,Species,Native,,-619896,NA,,,invalid,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Anthomyzidae,,Carexomyza
Arthropods,Bibio rufipes,Species,Native,"(Zetterstedt, 1838)",-619194,NA,,,invalid,"not reviewed, USFWS record",Determination by John Skartveit.  The species has traditionally been known as Bibio columbiaensis or Bibio velorum.,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Bibionidae,,Bibio
Arthropods,Dilophus femoratus,Species,Native,,-618221,NA,,,invalid,"not reviewed, USFWS record",Collected for Kenai NWR Long Term Ecological Monitoring Program,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Bibionidae,,Dilophus
Arthropods,Hesperinus brevifrons,Species,Native,,-618101,NA,,,invalid,"not reviewed, USFWS record",2004 Collet pilot study,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Bibionidae,,Hesperinus
Arthropods,Bolitophila sp. bold:aav0668,Species,Native,,-619910,NA,,,invalid,"not reviewed, USFWS record",{http://dx.doi.org/10.7299/X7QC03NB},,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Bolithophilidae,,Bolitophila
Arthropods,Asphondylia ? sp.,Species,Native,,-620140,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,The identification was based on the gall: \itaxon{Asphondylia!sambuci} galls buds of \itaxon{Sambucus}.,Larvae were found in winter buds of \itaxon{Sambucus!racemosa}.,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Cecidomyiidae,Cecidomyiinae,Asphondylia
Arthropods,Rabdophaga rosaria group sp. bold:acz0652,Species,Native,,-620054,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,"This gall midge induce rosette galls on \itaxon{Salix!barclayi}, \itaxon{Salix!commutata}, and \itaxon{Salix!sitchensis}.",Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Cecidomyiidae,Cecidomyiinae,Rabdophaga
Arthropods,Rabdophaga rosaria group sp. bold:ada9342,Species,Native,,-620072,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,This is close to and possibly conspecific with \itaxon{Rabdophaga!rosaria}.,These flies form rosette galls on \itaxon{Salix!fuscescens} and \itaxon{Salix!pulchra}.,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Cecidomyiidae,Cecidomyiinae,Rabdophaga
Arthropods,Rabdophaga sp. bold:ada6450,Species,Native,,-620139,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,This midge forms stem galls on \itaxon{Salix!barclayi}.,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Cecidomyiidae,Cecidomyiinae,Rabdophaga
Arthropods,Rabdophaga strobilina group sp. bold:ada7792,Species,Native,,-620135,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,These are similar to and possibly the same as \itaxon{Rabdophaga!strobilina} or \itaxon{Rabdophaga schreiteri}.,These are inquilines in rosette galls made by \itaxon{Rabdophaga!rosaria group sp. bold:acz0652}.,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Cecidomyiidae,Cecidomyiinae,Rabdophaga
Arthropods,Eukiefferiella ilkleyensis,Species,Native,,-619181,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Eukiefferiella
Arthropods,Heterotrissocladius boltoni,Species,Native,,-618337,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Heterotrissocladius
Arthropods,Krenosmittia halvorseni,Species,Native,,-618338,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Krenosmittia
Arthropods,Micropsectra nigriperla,Species,Native,,-618339,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Chironominae,Micropsectra
Arthropods,Orthocladius frigidis,Species,Native,,-618340,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladius
Arthropods,Orthocladius luteipes,Species,Native,,-618341,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladius
Arthropods,Orthocladius odumbratus,Species,Native,,-618342,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladius
Arthropods,Orthocladius pedestais,Species,Native,,-618343,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladius
Arthropods,Parorthocladius nigritus,Species,Native,,-618344,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Orthocladiinae,Parorthocladius
Arthropods,Polypedilum albicorne,Species,Native,,-618345,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Chironomidae,Chironominae,Polypedilum
Arthropods,Clusiodes sp. bold:acd9910,Species,Native,,-620147,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Clusiidae,Clusiodinae,Clusiodes
Arthropods,Ochlerotatus communis,Species,Native,,-619666,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Culicidae,,Ochlerotatus
Arthropods,Dolichopus latipennis,Species,Native,"Fallén, 1823",-619349,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Dolichopodidae,Dolichopodinae,Dolichopus
Arthropods,Empis lucida,Species,Native,"Zetterstedt, 1838",-619304,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Empididae,Empidinae,Empis
Arthropods,Rhamphomyia acuta,Species,Native,,-618362,NA,,,invalid,"not reviewed, USFWS record","Reported from the Kenai National Wildlife Refuge (Sterling Highway at Russian River) by Barták (2002). Barták, M. Nearctic species of Rhamphomyia subgenus Megacyttarus (Diptera: Empididae) Acta Universitatis Carolinae Biologica, 2002, 46, 3-215.",,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Empididae,Empidinae,Rhamphomyia
Arthropods,Rhamphomyia auricoma,Species,Native,"Barták, 2002",-618363,NA,,,invalid,"not reviewed, USFWS record","Reported from Sterling Highway at Russian River by Barták (2002). Barták, M. Nearctic species of Rhamphomyia subgenus Megacyttarus (Diptera: Empididae) Acta Universitatis Carolinae Biologica, 2002, 46, 3-215.",,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Empididae,Empidinae,Rhamphomyia
Arthropods,Rhamphomyia latiscaura,Species,Native,"Barták, 2002",-618364,NA,,,invalid,"not reviewed, USFWS record","Reported from Russian River campground by Barták (2002). Barták, M. Nearctic species of Rhamphomyia subgenus Megacyttarus (Diptera: Empididae) Acta Universitatis Carolinae Biologica, 2002, 46, 3-215.",,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Empididae,Empidinae,Rhamphomyia
Arthropods,Rhamphomyia praecipua,Species,Native,"Bartak, 2002",-619306,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Empididae,Empidinae,Rhamphomyia
Arthropods,Rhamphomyia pusilla,Species,Native,"Zetterstedt, 1838",-619307,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Empididae,Empidinae,Rhamphomyia
Arthropods,Rhamphomyia rivalis,Species,Native,"Bartak, 2002",-619305,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Empididae,Empidinae,Rhamphomyia
Arthropods,Allotrichoma bezzii,Species,Native,"Becker, 1896",-619924,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,Psilopinae,Allotrichoma
Arthropods,Gymnoclasiopa bohemanni,Species,Native,"(Becker, 1896)",-619928,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,,Gymnoclasiopa
Arthropods,Gymnoclasiopa parilis,Species,Native,"(Cresson, 1924)",-619929,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,,Gymnoclasiopa
Arthropods,Gymnoclasiopa tacoma,Species,Native,"(Cresson, 1924)",-619930,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,,Gymnoclasiopa
Arthropods,Hydrellia sp. iv,Species,Native,,-619920,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,Hydrelliinae,Hydrellia
Arthropods,Notiphila uliginosa,Species,Native,"Haliday, 1839",-618536,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,Hydrelliinae,Notiphila
Arthropods,Parydra fossarum,Species,Native,(Haliday),-619921,NA,,,invalid,"not reviewed, USFWS record",{http://dx.doi.org/doi:10.7299/X7V124ZB},,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,Parydrinae,Parydra
Arthropods,Philotelma defectum,Species,Native,(Haliday),-619922,NA,,,invalid,"not reviewed, USFWS record",{http://dx.doi.org/10.7299/X7KH0NGV},,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,Ephydrinae,Philotelma
Arthropods,Scatella tenuicosta,Species,Native,"Collin, 1930",-619923,NA,,,invalid,"not reviewed, USFWS record",{http://dx.doi.org/10.7299/X79Z9523},,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Ephydridae,Ephydrinae,Scatella
Arthropods,Scoliocentra sp. bold:aau5513,Species,Native,,-620104,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Heleomyzidae,Heleomyzinae,Scoliocentra
Arthropods,Euthyneura sp. bold:aaf9859,Species,Native,,-620057,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Hybotidae,Ocydromiinae,Euthyneura
Arthropods,Leptopeza flavipes,Species,Native,"(Meigen, 1820)",-619303,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Hybotidae,Ocydromiinae,Leptopeza
Arthropods,Lauxania shewelli,Species,Native,"Perusse and Wheeler, 2000",-618544,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Lauxaniidae,Lauxaniinae,Lauxania
Arthropods,Sapromyza sp. taw1 bold:aag6931,Species,Native,,-619882,NA,,,invalid,"not reviewed, USFWS record",This is a provisional name from boldsystems.org.,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Lauxaniidae,Lauxaniinae,Sapromyza
Arthropods,Cnodacophora nasoni,Species,Native,,-620093,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Brachycera,Micropezidae,,Cnodacophora
Arthropods,Boletina sp. bold:aav0669,Species,Native,,-619909,NA,,,invalid,"not reviewed, USFWS record",{http://dx.doi.org/10.7299/X7V40VB7},,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Mycetophilidae,Sciophilinae,Boletina
Arthropods,Mycetophila forcipata,Species,Native,,-620173,NA,,,,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,,Mycetophilidae,,Mycetophila
Arthropods,Mycetophila perpallida,Species,Native,,-700001,NA,,,,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,,Mycetophilidae,,Mycetophila
Arthropods,Mycetophila uninotata,Species,Native,,-620174,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Mycetophilidae,Mycetophilinae,Mycetophila
Arthropods,Rymosia sp. bold:acx7837,Species,Native,,-620080,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Mycetophilidae,Mycetophilinae,Rymosia
Arthropods,Sceptonia sp. cjb1 bold:aap8860,Species,Native,,-619912,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Mycetophilidae,Mycetophilinae,Sceptonia
Arthropods,Zygomyia sp. bold:aav4006,Species,Native,,-620142,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,Nematocera,Mycetophilidae,Mycetophilinae,Zygomyia
Arthropods,Geomyza sp.,Species,Native,,-619933,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Diptera,,Opomyzidae,,Geomyza
